"ID" "EV" "WMLR" "WEV" "BWMLR" "BWEV" "CPN" "TCS" "ECI" "LIT" "AILI" "TILI" "MILI" "II"
"65" "GS983" 0.125435540069686 1 0.4 0.928571428571429 1 5 34 6.8 6 0 0 0 1.2
"66" "GS694" 0.253774680603949 1 7.76666666666667 0.714285714285714 30.3333333333333 5 19 3.8 6 9.5 19 17 4.6
"67" "GS980" 0.172473867595819 1 1.9 0.928571428571429 7 6 32 5.33333333333333 7 3 3 3 1.5
"68" "GS899" 0.246806039488966 1 5.76666666666667 0.928571428571429 20.3333333333333 4 24 6 5 5 15 10 4.25
"69" "GS170" 0.172473867595819 0.714285714285714 4.3 0.571428571428571 19 2 6 3 6 14.5 29 27 16.5
"70" "GS946" 0.227642276422764 1 3.06666666666667 0.928571428571429 12.3333333333333 4 24 6 8 3 9 4 3.5
"71" "GS082" 0.185830429732869 0.714285714285714 5.06666666666667 0.642857142857143 24.3333333333333 3 7 2.33333333333333 6 9.66666666666667 29 25 10.6666666666667
"72" "GS935" 0.253774680603949 1 10.9666666666667 0.928571428571429 46.3333333333333 3 23 7.66666666666667 3 17 17 17 6.33333333333333
"73" "GS861" 0.250871080139373 1 6.4 0.857142857142857 28 3 22 7.33333333333333 6 4 16 8 6
"74" "GS343" 0.246806039488966 0.857142857142857 9.76666666666667 0.857142857142857 36.3333333333333 3 17 5.66666666666667 3 23 23 23 8.33333333333333
"75" "GS947" 0.246806039488966 1 10.5666666666667 0.928571428571429 52.3333333333333 3 25 8.33333333333333 3 15 15 15 5.66666666666667
"76" "GS856" 0.198025551684088 1 6.96666666666667 1 22.3333333333333 4 31 7.75 4 8 8 8 2.75
"77" "GS922" 0.227642276422764 1 7.06666666666667 0.928571428571429 30.3333333333333 3 28 9.33333333333333 4 11 11 11 4.66666666666667
"78" "GS045" 0.250871080139373 0.857142857142857 6.4 0.714285714285714 28 5 17 3.4 6 10 20 17 4.8
"79" "GS026" 0.227642276422764 1 7.06666666666667 0.928571428571429 10.3333333333333 4 25 6.25 7 4.5 9 7 3.5
"80" "GS559" 0.253774680603949 0.857142857142857 6.56666666666667 0.857142857142857 26.3333333333333 4 21 5.25 7 7 14 10 4.75
"81" "GS666" 0.235191637630662 1 12.3 1 61 2 27 13.5 2 14 14 14 7.5
"82" "GS031" 0.246806039488966 1 2.56666666666667 0.785714285714286 6.33333333333333 4 20 5 10 2.75 11 4 4.25
"83" "GS602" 0.246806039488966 0.857142857142857 4.96666666666667 0.785714285714286 14.3333333333333 7 25 3.57142857142857 8 4 12 8 2.42857142857143
"84" "GS801" 0.250871080139373 1 10.8 0.928571428571429 49 3 24 8 3 16 16 16 6
"85" "GS813" 0.235191637630662 1 5.9 0.857142857142857 19 4 24 6 7 3.66666666666667 11 7 3.75
"86" "GS607" 0.250871080139373 1 9.6 0.928571428571429 43 4 18 4.5 4 11 22 20 6
"87" "GS253" 0.227642276422764 0.857142857142857 7.06666666666667 0.714285714285714 25.3333333333333 3 11 3.66666666666667 6 23 23 23 9.33333333333333
"88" "GS700" 0.255516840882695 0.857142857142857 7.46666666666667 0.714285714285714 33.3333333333333 5 18 3.6 7 8.5 17 15 4.4
"89" "GS437" 0.246806039488966 0.857142857142857 7.76666666666667 0.785714285714286 30.3333333333333 3 14 4.66666666666667 6 20 20 20 8.33333333333333
"90" "GS898" 0.218931475029036 1 11.3666666666667 0.928571428571429 56.3333333333333 2 13 6.5 2 28 28 28 14.5
"91" "GS481" 0.241579558652729 0.857142857142857 9.06666666666667 0.857142857142857 37.3333333333333 2 16 8 3 24 24 24 13
"92" "GS342" 0.253774680603949 0.857142857142857 6.96666666666667 0.785714285714286 32.3333333333333 5 17 3.4 7 17 17 17 4.6
"93" "GS009" NA NA 0.266666666666667 NA 0.333333333333333 0 0 0 3 13.3333333333333 40 27 0
"94" "GS491" 0.218931475029036 0.857142857142857 8.96666666666667 0.857142857142857 44.3333333333333 3 13 4.33333333333333 3 27 27 27 9.66666666666667
"95" "GS277" 0.227642276422764 0.857142857142857 7.46666666666667 0.642857142857143 20.3333333333333 2 12 6 4 9 27 23 14
"96" "GS173" 0.227642276422764 0.857142857142857 7.06666666666667 0.714285714285714 25.3333333333333 3 13 4.33333333333333 5 8.66666666666667 26 22 9.33333333333333
"97" "GS697" 0.250871080139373 0.857142857142857 6.4 0.785714285714286 31 4 17 4.25 5 10.5 21 14 6
"98" "GS548" 0.246806039488966 0.857142857142857 8.16666666666667 0.857142857142857 36.3333333333333 4 16 4 5 11 22 20 6.25
