"ID" "EV" "WMLR" "WEV" "BWMLR" "BWEV" "CPN" "TCS" "ECI" "LIT" "AILI" "TILI" "MILI" "II"
"110" "GS926" 0.196972049689441 1 1.11857707509881 0.928571428571429 3.05454545454545 26 108 4.15384615384615 35 2.14285714285714 15 3 1.65384615384615
"111" "GS757" 0.21777950310559 1 2.26877470355731 0.857142857142857 5.85454545454545 23 98 4.26086956521739 35 3 24 9 2.21739130434783
"112" "GS817" 0.236801242236025 0.857142857142857 2.14624505928854 0.857142857142857 6.41818181818182 25 90 3.6 36 3.08333333333333 37 11 2.44
"113" "GS507" 0.240993788819876 1 5.26877470355731 0.928571428571429 20.0727272727273 22 94 4.27272727272727 25 7.5 45 32 2.90909090909091
"114" "GS395" 0.23361801242236 0.857142857142857 2.89328063241107 0.785714285714286 5.29090909090909 27 94 3.48148148148148 35 3.18181818181818 35 9 2.18518518518519
"115" "GS764" 0.21304347826087 1 3.300395256917 0.928571428571429 10.1636363636364 20 101 5.05 31 2.8 28 8 2.45
"116" "GS736" 0.230124223602484 0.857142857142857 3.35177865612648 0.857142857142857 12.6909090909091 22 96 4.36363636363636 30 4 36 18 2.59090909090909
"117" "GS702" 0.220031055900621 1 3.74703557312253 0.857142857142857 11.2181818181818 25 105 4.2 29 4.28571428571429 30 17 2.08
"118" "GS827" 0.21304347826087 1 3.75494071146245 1 15.6545454545455 17 101 5.94117647058824 28 6.25 25 13 2.88235294117647
"119" "GS549" 0.239673913043478 1 3.29249011857708 0.928571428571429 8.47272727272727 24 87 3.625 36 3.7 37 8 2.625
"120" "GS558" 0.242236024844721 0.857142857142857 2.78656126482213 0.785714285714286 10.2181818181818 29 89 3.06896551724138 37 4.5 36 19 2.24137931034483
"121" "GS844" 0.21055900621118 1 1.35573122529644 0.857142857142857 4.29090909090909 27 102 3.77777777777778 37 2.83333333333333 17 4 1.77777777777778
"122" "GS892" 0.21055900621118 1 3.08300395256917 0.928571428571429 9 21 107 5.09523809523809 27 3.33333333333333 30 11 2.28571428571429
"123" "GS849" 0.21055900621118 1 4.8102766798419 1 17.4181818181818 16 103 6.4375 26 NA 25 21 3
"124" "GS633" 0.226319875776398 1 3.61264822134387 0.857142857142857 11.1636363636364 21 95 4.52380952380952 32 4.28571428571429 30 17 2.61904761904762
"125" "GS330" 0.246428571428571 1 3.72727272727273 0.928571428571429 14.4 18 78 4.33333333333333 32 3.46666666666667 52 19 3.83333333333333
"126" "GS989" 0.171195652173913 1 2.26086956521739 1 6 21 123 5.85714285714286 25 3.5 14 8 1.66666666666667
"127" "GS576" 0.239673913043478 1 4.83794466403162 0.928571428571429 18.4545454545455 22 92 4.18181818181818 28 NA 39 29 2.86363636363636
"128" "GS036" 0.250388198757764 0.857142857142857 4.29249011857708 0.785714285714286 14.8181818181818 18 63 3.5 31 4.66666666666667 70 25 4.77777777777778
"129" "GS316" 0.243400621118012 1 4.02766798418972 0.857142857142857 12.0727272727273 20 84 4.2 32 3.83333333333333 46 13 3.3
"130" "GS640" 0.224301242236025 1 2.23715415019763 0.857142857142857 6.05454545454545 27 95 3.51851851851852 39 2.875 23 9 2
"131" "GS909" 0.205357142857143 1 2.54545454545455 0.928571428571429 5.49090909090909 22 107 4.86363636363636 30 3.28571428571429 23 8 2.09090909090909
"132" "GS963" 0.196972049689441 1 4.11857707509881 0.928571428571429 13.8181818181818 16 112 NA 23 6 24 18 2.6875
"133" "GS846" 0.224301242236025 1 2.96442687747036 0.857142857142857 10.8181818181818 25 98 3.92 34 4.33333333333333 26 15 2.16
"134" "GS691" 0.226319875776398 1 3.70355731225296 0.928571428571429 12.1636363636364 20 98 4.9 28 5.5 33 17 2.75
"135" "GS166" 0.244487577639752 1 4.8102766798419 0.928571428571429 18.4 21 88 4.19047619047619 27 6.71428571428571 47 32 3.19047619047619
"136" "GS841" 0.215450310559006 1 3.33201581027668 0.928571428571429 13.2181818181818 20 102 5.1 29 3.625 29 12 2.5
